OBJECTID,plz,einwohner,SHAPE_Length,SHAPE_Area
4936,55590,2897,26278.85762,24558420.12
4937,55774,4304,78180.05281,165441352.5
4938,55566,8468,115898.1721,199740657.9
4939,55585,4340,88656.07804,81517828.29
4940,55743,31790,119529.0883,255735046.6
4941,55768,2912,32689.46254,43780533.1
4942,55559,2497,21323.97484,13689624.74
4943,55569,2359,41288.88964,53555774.46
4944,24646,619,23471.21254,25035569.95
4945,55629,1029,36264.12371,41154349.31
4946,24813,1022,26984.74848,22739743.78
4947,55496,1682,40013.74691,68453094.61
4948,55618,1885,29228.41321,17993324.06
4949,55619,1256,30103.59452,34129385.77
4950,55596,2935,49874.83504,58168101.64
4951,55779,1210,31526.9979,23333823.6
4952,55452,7685,80542.91019,90743558.45
4953,55481,6535,101817.2722,183153508.6
4954,55583,4156,30753.69283,22689294.27
4955,55595,19805,132140.6338,347827346.7
4956,55432,1335,40069.23805,54646966.81
4957,55450,3717,29593.97591,28475904.12
4958,55546,8747,79116.39159,109764452.7
4959,55627,2220,40969.03781,56622276.33
4960,55263,2548,16506.60758,14223277.73
4961,55430,4020,65026.71467,98049091.25
4962,55765,8334,99220.32345,106720840.5
4963,55494,6122,66410.46577,107227972.6
4964,55545,16996,61562.23663,65476685.79
4965,55608,1751,97081.92193,94142521.03
4966,55626,938,23933.44226,18356426.7
4967,55491,2300,30041.9542,31518476.08
4968,55606,13776,156898.9241,217426792.5
4969,55777,1279,43856.01413,53334097.06
4970,67454,19807,45349.93022,93904422.3
4971,71334,19152,42289.7719,29810761.28
4972,71332,17608,23370.05366,18346697.27
4973,71336,14773,45599.10637,40575754.69
4974,45661,21059,18448.48367,20523845.25
4975,45663,22723,21327.93109,19959834.91
4976,45659,20261,59457.95795,61424494.6
4977,45657,19166,18852.83237,14168447.26
4978,55257,8345,21853.12333,25463135.9
4979,45665,32776,41992.96652,56016281.95
4980,55597,5125,30909.91867,36824032.4
4981,55237,4092,39868.9412,57762042.09
4982,55278,17178,99022.51344,186320405.1
4983,55413,6089,76249.51995,152869322.8
4984,55576,6168,47626.83106,59868743.06
4985,55268,9204,30935.76611,26977652.55
4986,55294,7057,31084.86141,32376083.23
4987,24784,4944,26019.05871,21294440.44
4988,55232,17976,66706.36878,93865987.21
4989,55271,4572,36208.53902,35073995.72
4990,55457,4427,24629.69233,31488253.59
4991,24640,2577,51784.71723,106320456.4
4992,55262,7225,28777.10629,42463239.58
4993,55288,8769,100047.5761,122404967.3
4994,55425,4036,33652.67013,37040483.59
4995,55599,5353,64653.44008,80384691.35
4996,55437,5570,51673.60861,61383224.8
4997,55283,7805,36721.7797,44870621.91
4998,55422,2063,43374.25981,69359093.3
4999,55578,4574,50409.43087,64560879.19
5000,55270,21523,109068.7805,165884064.8
5001,55239,3818,36350.67003,43758557.45
5002,55234,18661,205684.3355,356328691.6
5003,55276,9173,32188.18707,42107518.8
5004,55286,8622,34663.6874,54820350.39
5005,55411,23797,64780.96156,94028062.25
5006,55459,2142,34064.93224,23056083.68
5007,55291,7170,35151.62792,44723490.04
5008,55218,23967,56626.79517,120345082.3
5009,55435,6620,27130.91706,30316945.81
5010,55296,6121,30881.13034,29015426.81
5011,55126,13898,25259.62213,27390507.37
5012,55246,13364,23503.68197,22494535.61
5013,55129,21615,46562.68452,60007744.8
5014,55127,13013,25600.6103,23768865.56
5015,24649,1991,40082.57129,69337569.27
5016,55122,23825,19554.50395,12209945.67
5017,55124,13903,20029.18752,15094273.05
5018,82393,2489,45665.20296,60902444.29
5019,65582,11826,58326.31018,42743769.9
5020,82402,3008,59471.21703,77065450.98
5021,82386,4607,58216.44598,86872803.51
5022,82383,3780,47024.1313,45283703.6
5023,82436,960,48632.86774,35779207.51
5024,82399,2185,39192.36158,48704275.93
5025,82409,1260,72726.27912,104958297.5
5026,82392,1085,31409.0893,26866396.81
5027,82401,1760,75071.85533,69864060.65
5028,82390,1336,45483.01968,57523293.13
5029,82380,12465,67050.69853,89514388.68
5030,82398,3252,61937.165,63050078.04
5031,82377,16011,50895.76469,56843068.43
5032,82407,3069,69104.10639,71742257.5
5033,82396,2261,61114.20112,77077432.72
5034,78464,19406,22303.08786,18221337.5
5035,78465,10033,46829.8925,61516308.61
5036,82405,2129,71356.96787,113271081.2
5037,82389,1663,48059.49422,73807477.03
5038,82387,1188,47732.69657,49418915.38
5039,82362,21179,83789.50129,124591015
5040,90475,15149,87024.40025,151689009.2
5041,78467,31068,36796.0705,34805330.47
5042,46286,26788,81906.09841,272940741.7
5043,78564,4082,38406.86059,46492817.28
5044,67063,32492,32312.38072,35651229.9
5045,67595,1818,29677.89151,32918988.87
5046,67591,4645,64357.70086,54168624.8
5047,67376,3021,26902.6362,19704376.68
5048,67122,7701,21301.14864,24644726.53
5049,67069,22425,25021.88142,21484045.5
5050,67593,3490,32124.36158,39700403.81
5051,67547,22650,51672.34087,49194113.02
5052,67067,21277,51135.60562,27453192.63
5053,67598,1624,21053.75624,20230576.89
5054,67578,2949,30669.20494,42220910.39
5055,67134,3064,15743.51578,6847376.482
5056,67346,49582,56289.93275,98286809.95
5057,67245,6368,28436.83735,30237548.46
5058,67061,18014,17022.73272,9155365.155
5059,67590,2521,21735.49062,22905634.36
5060,67259,6452,35383.24816,45499357.95
5061,67117,10779,21916.1471,21016302.69
5062,67551,17567,44792.36206,83219185.53
5063,67373,5740,31890.87094,30469322.42
5064,10825,9739,7123.422759,1874210.47
5065,67112,12411,35189.11612,48480935.17
5066,67065,20977,66714.87563,26741683.39
5067,82110,37700,44639.75296,48443482.89
5068,82287,1490,39750.45291,34395262.06
5069,67577,2621,29618.79446,37199765.76
5070,32429,16549,46951.57911,65525210
5071,67583,3745,33157.50567,39601777.04
5072,24326,5593,97873.29556,226226231.2
5073,24329,1944,81223.43141,146076676.1
5074,24327,2317,78953.40537,178288179.1
5075,24321,11047,111265.1897,365244172.1
5076,24257,2699,64108.72395,113262242.8
5077,24217,9880,66832.54802,194624667.8
5078,67575,3346,36271.15164,50198055.2
5079,67240,9829,41124.638,48748250.55
5080,67227,46574,62932.15834,104135608.9
5081,67550,11689,76321.62109,99037216.99
5082,67586,641,19523.83422,13697696.28
5083,67459,10180,49862.81264,77397973.15
5084,67105,18771,39969.02451,70728802.65
5085,67071,28021,44480.63149,54763577.61
5086,67141,6945,35932.26032,29158570.94
5087,67133,6999,18456.52317,17349960.74
5088,67574,8664,31228.13646,44482114.68
5089,67580,2153,27945.0086,18870437.09
5090,67354,9372,35345.78403,65301787.71
5091,67166,3287,49695.06674,39846976.1
5092,74918,4854,30751.75579,41965049.49
5093,74931,2347,41915.50525,35179390.52
5094,74909,5069,32940.88091,38354778.28
5095,74889,34612,106390.3013,297702430.3
5096,74937,1769,21247.43156,19995613.39
5097,74921,3772,53962.98368,65682826.45
